# 350.0 0.1 5.85
# 375.0 0.1 5.85
400.0 0.075 1.93
450.0 0.055 2.42
500.0 0.05 2.87
550.0 0.055 3.32
600.0 0.06 3.75
650.0 0.07 4.2
750.0 0.08 5.05
950.0 0.11 6.56
1200.0 0.129 6.83
2000.0 0.48 14.4
4000.0 1.89 23.7
